['0', '22', '44', '66', '88', '110', '132', '154', '176', '198', '220', '242', '264', '286', '308', '330', '352', '359', '374', '396', '418', '440', '467']
['1', '5', '23', '27', '45', '49', '67', '71', '89', '93', '111', '115', '133', '137', '155', '159', '177', '181', '203', '221', '225', '247', '269']
['2', '24', '46', '68', '90', '112', '134', '156', '178', '200', '222', '244', '265', '266', '288', '310', '332', '376', '419', '420', '442', '463', '486']
['3', '25', '47', '69', '91', '113', '135', '157', '179', '201', '223', '245', '267', '289', '311', '333', '354', '355', '377', '399', '421', '443', '487']
['4', '26', '48', '70', '92', '114', '136', '158', '180', '202', '224', '246', '268', '290', '312', '334', '356', '378', '400', '401', '416', '422', '444']
['6', '28', '50', '72', '94', '116', '138', '160', '182', '204', '226', '248', '270', '292', '314', '336', '358', '362', '380', '402', '406', '407', '424']
['7', '29', '51', '73', '95', '117', '139', '161', '183', '205', '227', '249', '271', '293', '315', '337', '381', '382', '403', '425', '447', '455', '469']
['8', '30', '52', '74', '96', '118', '140', '162', '184', '206', '228', '250', '272', '294', '316', '338', '404', '426', '448', '449', '462', '470', '492']
['9', '31', '53', '75', '97', '119', '141', '163', '185', '207', '229', '251', '273', '295', '317', '339', '361', '383', '405', '427', '471', '493', '480']
['10', '32', '54', '76', '98', '120', '142', '164', '186', '208', '230', '252', '274', '296', '340', '384', '472', '494', '481', '498', '496', '491', '468']
['11', '33', '55', '77', '99', '121', '143', '165', '187', '209', '231', '253', '275', '297', '319', '341', '363', '373', '385', '429', '451', '473', '495']
['12', '34', '56', '78', '100', '122', '144', '166', '188', '210', '232', '254', '276', '298', '320', '342', '364', '386', '408', '430', '446', '452', '474']
['13', '35', '57', '79', '101', '123', '145', '167', '189', '211', '233', '255', '277', '299', '321', '343', '365', '409', '431', '453', '475', '497', '490']
['14', '36', '58', '80', '102', '124', '146', '168', '190', '212', '234', '256', '278', '300', '322', '344', '366', '388', '410', '432', '454', '466', '476']
['15', '37', '59', '81', '103', '125', '147', '169', '191', '213', '235', '257', '279', '301', '323', '345', '346', '367', '389', '411', '433', '465', '477']
['16', '38', '60', '82', '104', '126', '148', '170', '192', '214', '236', '258', '280', '302', '324', '360', '368', '390', '456', '478', '488', '499', '287']
['17', '39', '61', '83', '105', '127', '149', '171', '193', '215', '237', '259', '281', '303', '325', '347', '349', '369', '387', '391', '435', '457', '479']
['18', '40', '62', '84', '106', '128', '150', '172', '194', '216', '238', '243', '260', '282', '304', '326', '348', '370', '392', '414', '428', '436', '458']
['19', '41', '63', '85', '107', '129', '151', '173', '195', '217', '239', '261', '283', '305', '327', '371', '398', '412', '415', '437', '291', '309', '313']
['20', '42', '64', '86', '108', '130', '152', '174', '196', '218', '240', '262', '284', '306', '318', '328', '372', '375', '394', '438', '460', '482', '331']
['21', '43', '65', '87', '109', '131', '153', '175', '197', '199', '219', '241', '263', '285', '307', '329', '351', '393', '395', '417', '439', '461', '483']
['484', '335', '350', '353', '357', '379', '397', '413', '423', '434', '441', '445', '450', '459', '464', '485', '489']
