['144', '163', '143', '64']
['43', '336', '308', '257']
['216', '199', '167', '204']
['364', '242', '116', '279']
['190', '367', '234', '341']
['138', '331', '236', '23']
['248', '312', '265', '106']
['381', '140', '379', '62']
['134', '200', '68', '281']
['111', '376', '16', '207']
['145', '318', '357', '97']
['48', '31', '301', '155']
['342', '2', '397', '322']
['260', '387', '173', '372']
['12', '161', '150', '268']
['284', '338', '344', '214']
['313', '346', '295', '182']
['360', '366', '202', '315']
['117', '78', '382', '25']
['218', '152', '255', '358']
['389', '375', '47', '194']
['345', '189', '230', '9']
['303', '351', '65', '324']
['343', '238', '368', '77']
['208', '319', '151', '225']
['89', '224', '183', '228']
['211', '206', '179', '28']
['395', '170', '330', '76']
['53', '71', '88', '321']
['250', '340', '85', '159']
['221', '139', '109', '69']
['133', '11', '102', '40']
['101', '220', '377', '332']
['107', '304', '383', '166']
['160', '254', '325', '327']
['348', '258', '392', '92']
['300', '129', '384', '169']
['305', '369', '21', '123']
['390', '14', '90', '252']
['274', '196', '8', '81']
['36', '266', '6', '86']
['299', '328', '15', '26']
['378', '222', '270', '52']
['347', '350', '235', '245']
['215', '176', '355', '105']
['94', '180', '103', '240']
['187', '124', '56', '39']
['307', '243', '380', '110']
['98', '118', '20', '27']
['356', '246', '154', '79']
['100', '55', '227', '262']
['269', '41', '30', '158']
['339', '168', '66', '241']
['165', '267', '87', '226']
['323', '399', '162', '353']
['231', '293', '365', '394']
['276', '237', '80', '259']
['37', '19', '223', '175']
['13', '5', '233', '137']
['1', '306', '277', '361']
['113', '203', '349', '63']
['10', '125', '67', '83']
['251', '195', '244', '370']
['114', '201', '148', '280']
['58', '4', '135', '61']
['188', '297', '309', '294']
['44', '54', '314', '335']
['363', '99', '334', '333']
['249', '7', '115', '172']
['136', '72', '271', '388']
['95', '104', '45', '185']
['373', '317', '24', '147']
['156', '289', '197', '35']
['310', '3', '178', '239']
['153', '264', '32', '362']
['121', '96', '192', '272']
['17', '0', '326', '283']
['119', '316', '149', '177']
['157', '292', '127', '29']
['398', '396', '337', '329']
['108', '253', '51', '141']
['286', '112', '171', '128']
['193', '278', '359', '132']
['73', '164', '391', '311']
['50', '205', '49', '174']
['256', '22', '70', '282']
['146', '285', '57', '320']
['296', '33', '74', '261']
['219', '120', '18', '42']
['354', '298', '122', '130']
['217', '209', '59', '273']
['82', '302', '288', '393']
['232', '186', '275', '229']
['191', '126', '60', '212']
['263', '386', '75', '210']
['93', '181', '91', '131']
['247', '198', '213', '38']
['84', '374', '34', '290']
['291', '184', '142', '46']
['371', '287', '352', '385']
